Dataset	ParentIonIndex	MZ	SurveyScanNumber	FragScanNumber	OptimalPeakApexScanNumber	PeakApexOverrideParentIonIndex	CustomSICPeak	PeakScanStart	PeakScanEnd	PeakScanMaxIntensity	PeakMaxIntensity	PeakSignalToNoiseRatio	FWHMInScans	PeakArea	ParentIonIntensity	PeakBaselineNoiseLevel	PeakBaselineNoiseStDev	PeakBaselinePointsUsed	StatMomentsArea	CenterOfMassScan	PeakStDev	PeakSkew	PeakKSStat	StatMomentsDataCountUsed	InterferenceScore
0	832	697.3444	45907	45908	45894	-1	0	45816	45998	45894	436218	7.528	58	3.0071E+07	285773	57946	80191	79	1.9344E+07	45892	25	0.03108	0.2936	11	0
0	833	928.792	45907	45909	45907	-1	0	45829	45998	45907	251760	6.019	68	2.2417E+07	245026	41824	41536	78	1.3854E+07	45902	23.8	-0.02118	0.308	10	0
0	834	711.7513	45907	45910	45829	-1	0	45463	45998	45829	1.3685E+07	2.385	79	2.0511E+09	535473	5.7372E+06	4.62E+06	27	6.9428E+08	45832	31.3	-0.08993	0.2889	13	0
0	835	701.0839	45907	45911	45894	-1	0	45816	45998	45894	616603	11.86	45	3.6169E+07	531719	52008	87039	78	2.6906E+07	45900	24.5	0.02207	0.2951	10	0
0	836	624.8265	45907	45912	45920	-1	0	45855	45998	45920	625505	1.854	45	1.1119E+08	447239	337398	526362	27	1.0904E+07	45924	13.7	0.1155	0.3807	6	0
0	837	418.2213	45907	45913	45920	-1	0	45842	45998	45920	300417	1.733	52	5.4585E+07	258775	173318	228198	27	5.1016E+06	45918	14.8	0.007001	0.3653	7	0
0	838	688.1241	45907	45914	45920	-1	0	45855	45998	45920	1.102E+06	10.18	66	8.437E+07	875301	108245	261778	79	4.3658E+07	45922	20.7	0.009186	0.3182	9	0
0	839	985.4897	45907	45915	45920	-1	0	45855	45998	45920	1.4809E+06	4.016	45	3.4376E+08	948245	368731	1.18E+06	79	5.6573E+07	45926	18.2	0.03193	0.344	8	0
0	840	977.2121	45907	45916	45920	-1	0	45842	45998	45920	528289	7.347	74	4.7866E+07	486082	71908	144564	79	2.6903E+07	45918	21.4	0.03993	0.327	9	0
0	841	960.5114	45907	45917	45868	-1	0	45790	45998	45868	504650	10.33	65	3.3874E+07	157061	48837	81545	78	2.3424E+07	45874	25.3	0.04423	0.2875	10	0
0	842	868.835	45907	45918	45894	-1	0	45608	45998	45894	248483	2.487	120	3.5712E+07	109093	99911	119721	27	1.0813E+07	45891	27	-0.2949	0.3173	11	0
0	843	629.3102	45907	45919	45842	-1	0	45790	45998	45842	641125	1.568	37	6.4669E+07	304847	408917	240235	27	6.8987E+06	45833	22.3	-0.2422	0.3623	9	0
0	844	988.5353	45920	45921	45920	-1	0	45842	45998	45920	405909	0.7614	42	2.4269E+07	405909	533120	714132	53	1.3813E+07	45919	14.5	0.01314	0.3727	5	0
0	845	887.1126	45920	45922	45907	-1	0	45842	45998	45907	340510	9.696	20	1.4E+07	179669	35120	22476	78	6.5445E+06	45910	21.3	-0.06264	0.3376	9	0
0	846	617.3462	45920	45923	45920	-1	0	45842	45998	45920	2.0445E+06	2.028	46	3.456E+08	2.0135E+06	1.0081E+06	1.58E+06	27	4.307E+07	45921	15.4	-0.02589	0.3678	7	0
0	847	727.0543	45920	45924	45920	-1	0	45842	45998	45920	1.9235E+06	4.263	60	1.515E+08	1.8472E+06	451251	663763	27	5.7593E+07	45917	18.8	-0.0589	0.3326	8	0
0	848	399.2486	45920	45925	45920	-1	0	45842	45998	45920	1.3539E+06	2.102	46	2.1861E+08	1.3341E+06	644199	942531	27	3.0506E+07	45920	15.8	-0.009174	0.3671	7	0
0	849	500.7875	45920	45926	45907	-1	0	45829	45998	45907	249859	2.759	81	2.6397E+07	238637	90553	82257	27	9.1636E+06	45908	20.8	-0.04902	0.3336	9	0
0	850	933.7418	45920	45927	45920	-1	0	45855	45998	45920	1.0183E+06	5.802	45	1.4249E+08	1.1863E+06	175503	443439	79	4.4615E+07	45926	18.9	0.04231	0.3485	8	0
0	851	822.7022	45920	45928	45920	-1	0	45842	45998	45920	752127	3.592	70	6.4969E+07	809846	209389	295933	27	2.2352E+07	45920	17.3	0.01033	0.3484	7	0
0	852	1244.9852	45920	45929	45920	-1	0	45855	45998	45920	792917	7.022	78	8.9515E+07	1.0726E+06	112912	291880	79	3.6894E+07	45925	19.5	0.05696	0.3324	8	0
0	853	613.9913	45920	45930	45920	-1	0	45842	45998	45920	668337	10.29	49	1.2251E+08	230837	64929	110410	77	1.1106E+07	45917	20.1	0.03514	0.3211	9	0
0	854	595.3268	45920	45931	45881	-1	0	45764	45998	45881	690629	4.029	92	7.1564E+07	374366	171396	255048	79	4.0776E+07	45881	27.8	-0.02655	0.3091	11	0
0	855	732.0384	45920	45932	45933	-1	0	45855	45998	45933	997635	6.243	51	1.687E+08	929712	159797	475102	78	3.0408E+07	45927	18.2	0.0008715	0.3485	8	0
